kanji,onyomi,kunyomi,meaning
綴%@,"tei, tetsu, techi, getsuテイ、 テツ、 テチ、 ゲツ%@","to(jiru), tsudzu(ru), tsudzuri, sumi(yaka)と(じる)、 つづ(る)、 つづり、 すみ(やか)%@","compose, spell, write, bind (books)%@"
埴%@,shokuショク%@,"hani, henaはに、 へな%@",clay%@
霜%@,souソウ%@,shimoしも%@,frost%@
餅%@,"hei, hyouヘイ、 ヒョウ%@","mochi, mochiiもち、 もちい%@",mochi rice cake%@
魯%@,roロ%@,orokaおろか%@,"foolish, Russia%@"
硝%@,shouショウ%@,%@,"nitrate, saltpeter%@"
牡%@,"bo, bouボ、 ボウ%@","osu, o-, on-おす、 お-、 おん-%@",male%@
箸%@,"cho, chakuチョ、 チャク%@",hashiはし%@,chopsticks%@
勅%@,chokuチョク%@,"imashi(meru), mikotonoriいまし(める)、 みことのり%@",imperial order%@
芹%@,kinキン%@,seriせり%@,parsley%@
杏%@,"kyou, an, kouキョウ、 アン、 コウ%@",anzuあんず%@,apricot%@
迦%@,"ka, keカ、 ケ%@",%@,(used phonetically)%@
棺%@,kanカン%@,%@,"coffin, casket%@"
儒%@,juジュ%@,%@,Confucian%@
鳳%@,"hou, fuuホウ、 フウ%@",%@,male mythical bird%@
馨%@,"kei, kyouケイ、 キョウ%@","kao(ru), kaoriかお(る)、 かおり%@","fragrant, balmy, favourable%@"
斑%@,hanハン%@,"fu, madaraふ、 まだら%@","spot, blemish, speck, patches%@"
蔭%@,"in, onイン、 オン%@",kageかげ%@,"shade, shadow, backing assistance%@"
焉%@,enエン%@,"izuku(nzo), kokoni, koreいずく(んぞ)、 ここに、 これ%@","how, why, then%@"
慧%@,"kei, eケイ、 エ%@",satoiさとい%@,wise%@
祇%@,"gi, ki, shiギ、 キ、 シ%@","kunitsukami, tada, masaniくにつかみ、 ただ、 まさに%@","national or local god, peaceful, great%@"
摯%@,shiシ%@,"ita(ru), tsuka(mu), nieいた(る)、 つか(む)、 にえ%@","gift, seriousness%@"
愁%@,shuuシュウ%@,"ure(eru), ure(i)うれ(える)、 うれ(い)%@","distress, grieve, lament, be anxious%@"
鷺%@,roロ%@,sagiさぎ%@,heron%@
楼%@,rouロウ%@,takadonoたかどの%@,"watchtower, lookout, high building%@"
彬%@,"hin, funヒン、 フン%@","uruwa(shii), aki(raka)うるわ(しい)、 あき(らか)%@","refined, gentle%@"
袴%@,"ko, kuコ、 ク%@","hakama, zubonはかま、 ずぼん%@",men's formal divided skirt%@
匡%@,"kyou, ouキョウ、 オウ%@","suku(u), tada(su)すく(う)、 ただ(す)%@","correct, save, assist%@"
眉%@,"bi, miビ、 ミ%@",mayuまゆ%@,eyebrow%@
苅%@,"gai, kaiガイ、 カイ%@",ka(ru)か(る)%@,cutting (grass)%@
讃%@,sanサン%@,"ho(meru), tata(eru)ほ(める)、 たた(える)%@","praise, title on a picture%@"
尹%@,inイン%@,"osa, tada(su)おさ、 ただ(す)%@",an official rank%@
欽%@,"kin, konキン、 コン%@",tsutsushi(mu)つつし(む)%@,"respect, revere, long for%@"
薪%@,shinシン%@,"takigi, makiたきぎ、 まき%@","fuel, firewood, kindling%@"
湛%@,"tan, chin, jin, senタン、 チン、 ジン、 セン%@","shizu(mu), tata(eru)しず(む)、 たた(える)%@","fill, wear (a smile), clear, pure, dense, deep%@"
堆%@,"tai, tsuiタイ、 ツイ%@",uzutaka(i)うずたか(い)%@,piled high%@
狐%@,koコ%@,kitsuneきつね%@,fox%@
褐%@,katsuカツ%@,%@,"brown, woollen kimono%@"
鴎%@,ouオウ%@,kamomeかもめ%@,seagull%@
瀋%@,shinシン%@,%@,"juice, broth%@"
挺%@,"chou, teiチョウ、 テイ%@",nu(ku)ぬ(く)%@,"bravely volunteer, counter for guns, inksticks, palanquins%@"
賜%@,shiシ%@,"tamawa(ru), tama(u), tamo(u)たまわ(る)、 たま(う)、 たも(う)%@","grant, gift, boon, results%@"
嵯%@,"sa, shiサ、 シ%@",%@,"steep, craggy, rugged%@"
雁%@,ganガン%@,"kari, kariganeかり、 かりがね%@",wild goose%@
佃%@,"ten, denテン、 デン%@",tsukudaつくだ%@,cultivated rice field%@
綜%@,souソウ%@,"osa(meru), su(beru)おさ(める)、 す(べる)%@","rule, synthesize%@"
繕%@,zenゼン%@,tsukuro(u)つくろ(う)%@,"darning, repair, mend, trim, tidy up, adjust%@"
狛%@,hakuハク%@,komaこま%@,"archaic part of Korea, lion-dog shrine guards%@"
壷%@,koコ%@,tsuboつぼ%@,"jar, pot, hinge knuckle, one's aim%@"
橿%@,kyouキョウ%@,"kashi, mochinokiかし、 もちのき%@",oak%@
栓%@,senセン%@,%@,"plug, bolt, cork, bung, stopper%@"
翠%@,suiスイ%@,"kawasemi, midoriかわせみ、 みどり%@","green, kingfisher%@"
鮎%@,"den, nenデン、 ネン%@","ayu, namazuあゆ、 なまず%@","freshwater trout, smelt%@"
芯%@,shinシン%@,%@,wick%@
蜜%@,"mitsu, bitsuミツ、 ビツ%@",%@,"honey, nectar, molasses%@"
播%@,"ha, ban, hanハ、 バン、 ハン%@",ma(ku)ま(く)%@,"plant, sow%@"
榛%@,"shin, hanシン、 ハン%@","hashibami, hariはしばみ、 はり%@","hazelnut, filbert%@"
凹%@,ouオウ%@,"kubo(mu), heko(mu), bokoくぼ(む)、 へこ(む)、 ぼこ%@","concave, hollow, sunken%@"
艶%@,enエン%@,"tsuya, nama(mekashii), ade(yaka), tsuya(meku)つや、 なま(めかしい)、 あで(やか)、 つや(めく)%@","glossy, luster, glaze, polish, charm, colorful, captivating%@"
帖%@,"chou, jouチョウ、 ジョウ%@",kakimonoかきもの%@,"quire (of paper), bundle of seaweed, counter for screens, notebook%@"
桶%@,"you, touヨウ、 トウ%@",okeおけ%@,"tub, bucket%@"
惣%@,souソウ%@,sube(te)すべ(て)%@,all%@
股%@,koコ%@,"mata, momoまた、 もも%@","thigh, crotch%@"
匂%@,%@,"nio(u), nio(i), nio(waseru)にお(う)、 にお(い)、 にお(わせる)%@","fragrant, stink, glow, insinuate, (kokuji)%@"
鞍%@,anアン%@,kuraくら%@,saddle%@
蔦%@,chouチョウ%@,tsutaつた%@,"vine, ivy%@"
玩%@,ganガン%@,"mochiaso(bu), moteaso(bu)もちあそ(ぶ)、 もてあそ(ぶ)%@","play, take pleasure in, trifle with, make sport of%@"
萱%@,kenケン%@,"kaya, kanzouかや、 かんぞう%@",miscanthus reed%@
梯%@,"tei, taiテイ、 タイ%@",hashigoはしご%@,"ladder, stairs, insatiable drinking%@"
雫%@,daダ%@,shizukuしずく%@,"drop, trickle, dripping, (kokuji)%@"
絆%@,hanハン%@,"kizuna, hoda(su), tsuna(gu)きずな、 ほだ(す)、 つな(ぐ)%@","bonds, fetters%@"
錬%@,renレン%@,ne(ru)ね(る)%@,"tempering, refine, drill, train, polish%@"
湊%@,souソウ%@,"minato, atsu(maru)みなと、 あつ(まる)%@","port, harbor%@"
蜂%@,houホウ%@,hachiはち%@,"bee, wasp, hornet%@"
隼%@,"shun, junシュン、 ジュン%@",hayabusaはやぶさ%@,falcon%@
舵%@,"da, taダ、 タ%@",kajiかじ%@,"rudder, helm, wheel%@"
渚%@,shoショ%@,nagisaなぎさ%@,"strand, beach, shore%@"
珂%@,kaカ%@,%@,jewel%@
煥%@,kanカン%@,akirakaあきらか%@,shine%@
衷%@,chuuチュウ%@,%@,"inmost, heart, mind, inside%@"
逐%@,chikuチク%@,%@,"pursue, drive away, chase, accomplish, attain, commit%@"
斥%@,sekiセキ%@,shirizo(keru)しりぞ(ける)%@,"reject, retreat, recede, withdraw, repel, repulse%@"
稀%@,"ki, keキ、 ケ%@","mare, mabaraまれ、 まばら%@","rare, phenomenal, dilute (acid)%@"
癌%@,ganガン%@,%@,"cancer, cancerous evil%@"
峨%@,gaガ%@,kewa(shii)けわ(しい)%@,high mountain%@
嘘%@,"kyo, koキョ、 コ%@","uso, fu(ku)うそ、 ふ(く)%@","lie, falsehood%@"
旛%@,"hen, hanヘン、 ハン%@",hataはた%@,flag%@
篭%@,"rou, ruロウ、 ル%@","kago, ko(meru), komo(ru), ko(mu)かご、 こ(める)、 こも(る)、 こ(む)%@","seclude oneself, cage, coop, implied%@"
芙%@,fuフ%@,%@,"lotus, Mt Fuji%@"
詔%@,shouショウ%@,mikotonoriみことのり%@,imperial edict%@
皐%@,kouコウ%@,satsukiさつき%@,"swamp, shore, fifth month%@"
雛%@,"suu, su, juスウ、 ス、 ジュ%@","hina, hiyokoひな、 ひよこ%@","chick, squab, duckling, doll%@"
娼%@,shouショウ%@,asobimeあそびめ%@,prostitute%@
篆%@,tenテン%@,%@,seal-style characters%@
鮫%@,kouコウ%@,"same, mizuchiさめ、 みずち%@",shark%@
椅%@,iイ%@,%@,chair%@
惟%@,"i, yuiイ、 ユイ%@","omo(nmiru), kore, omo(uni)おも(んみる)、 これ、 おも(うに)%@","consider, reflect, think%@"
牌%@,haiハイ%@,"pai, fudaぱい、 ふだ%@","label, signboard, medal, mahjong tiles%@"
宕%@,touトウ%@,sugiruすぎる%@,cave%@
喧%@,kenケン%@,"yakama(shii), kamabisu(shii)やかま(しい)、 かまびす(しい)%@","noisy, boisterous%@"
佑%@,"yuu, uユウ、 ウ%@",tasu(keru)たす(ける)%@,"help, assist%@"
蒋%@,"shou, souショウ、 ソウ%@","makomo, hage(masu)まこも、 はげ(ます)%@",reed%@
樟%@,shouショウ%@,kusuくす%@,camphor%@
耀%@,youヨウ%@,"kagaya(ku), hikariかがや(く)、 ひかり%@","shine, sparkle, gleam, twinkle%@"
黛%@,taiタイ%@,mayuzumiまゆずみ%@,blackened eyebrows%@
叱%@,"shitsu, shichi, kaシツ、 シチ、 カ%@",shika(ru)しか(る)%@,"scold, reprove%@"
櫛%@,shitsuシツ%@,"kushi, kushikezu(ru)くし、 くしけず(る)%@",comb%@
渥%@,akuアク%@,"atsu(i), uruo(u)あつ(い)、 うるお(う)%@","kindness, moisten%@"
挨%@,aiアイ%@,hira(ku)ひら(く)%@,"approach, draw near, push open%@"
憧%@,"shou, tou, douショウ、 トウ、 ドウ%@",akoga(reru)あこが(れる)%@,"yearn after, long for, aspire to, admire, adore%@"
濡%@,"ju, nyuジュ、 ニュ%@","nure(ru), uruo(i)ぬれ(る)、 うるお(い)%@","get wet, damp, make love%@"
槍%@,"sou, shouソウ、 ショウ%@",yariやり%@,"spear, lance, javelin%@"
宵%@,shouショウ%@,yoiよい%@,"wee hours, evening, early night%@"
襄%@,"jou, shouジョウ、 ショウ%@",hara(u)はら(う)%@,"rise, raise%@"
妄%@,"mou, bouモウ、 ボウ%@",mida(rini)みだ(りに)%@,"delusion, unnecessarily, without authority, reckless%@"
惇%@,"shun, jun, tonシュン、 ジュン、 トン%@",atsu(i)あつ(い)%@,"sincere, kind, considerate%@"
蛋%@,tanタン%@,%@,"barbarian, egg%@"
脩%@,shuuシュウ%@,"osa(meru), naga(i), hojishiおさ(める)、 なが(い)、 ほじし%@",dried meat%@
笘%@,"sen, chouセン、 チョウ%@",%@,"whip, cane, wooden writing slate%@"
宍%@,"niku, jikuニク、 ジク%@",shishiしし%@,"muscles, meat%@"
甫%@,"ho, fuホ、 フ%@",haji(mete)はじ(めて)%@,"for the first time, not until%@"
酌%@,shakuシャク%@,ku(mu)く(む)%@,"bar-tending, serving sake, the host, draw (water), ladle, scoop, pump%@"
蚕%@,"san, tenサン、 テン%@","kaiko, koかいこ、 こ%@",silkworm%@
壕%@,"kou, gouコウ、 ゴウ%@",horiほり%@,"trench, dugout, air raid shelter%@"
嬉%@,kiキ%@,"ure(shii), tano(shimu)うれ(しい)、 たの(しむ)%@","glad, pleased, rejoice%@"
囃%@,"satsu, souサツ、 ソウ%@","haya(su), hayashiはや(す)、 はやし%@","play (music), accompany, beat time, banter, jeer, applaud%@"
蒼%@,souソウ%@,ao(i)あお(い)%@,"blue, pale%@"
餌%@,"ji, niジ、 ニ%@","e, eba, esa, mochiえ、 えば、 えさ、 もち%@","food, bait, prey, tempting profit%@"
簗%@,ryouリョウ%@,yanaやな%@,"weir, fish trap, (kokuji)%@"
峙%@,jiジ%@,sobada(tsu)そばだ(つ)%@,"tower, soar%@"
粥%@,"iku, shuku, jukuイク、 シュク、 ジュク%@","kayu, kai, hisa(gu)かゆ、 かい、 ひさ(ぐ)%@",rice gruel%@
舘%@,kanカン%@,"yakata, tateやかた、 たて%@","mansion, large building, palace%@"
銕%@,tetsuテツ%@,kuroganeくろがね%@,"iron, strong, solid, firm%@"
鄒%@,"suu, shu, shuuスウ、 シュ、 シュウ%@",%@,place name%@
蜷%@,kenケン%@,ninaにな%@,an edible river snail%@
暉%@,kiキ%@,kaga(yaku)かが(やく)%@,"shine, light%@"
捧%@,houホウ%@,sasa(geru)ささ(げる)%@,"lift up, give, offer, consecrate, sacrifice, dedicate%@"
頒%@,hanハン%@,"wa(katsu), wa(keru)わ(かつ)、 わ(ける)%@","distribute, disseminate, partition, understand%@"
只%@,shiシ%@,tadaただ%@,"only, free, in addition%@"
肢%@,shiシ%@,%@,"limb, arms & legs%@"
箏%@,"sou, shouソウ、 ショウ%@",kotoこと%@,a koto%@
檀%@,"dan, tanダン、 タン%@",mayumiまゆみ%@,"cedar, sandalwood, spindle tree%@"
鵠%@,"koku, kouコク、 コウ%@","kugui, matoくぐい、 まと%@",swan%@
凱%@,"gai, kaiガイ、 カイ%@","kachidoki, yawaraguかちどき、 やわらぐ%@",victory song%@
彗%@,"sui, e, kei, seiスイ、 エ、 ケイ、 セイ%@",houkiほうき%@,comet%@
謄%@,touトウ%@,%@,"mimeograph, copy%@"
諌%@,kanカン%@,isa(me)いさ(め)%@,"admonish, dissuade%@"
樫%@,%@,kashiかし%@,"evergreen oak, (kokuji)%@"
噂%@,sonソン%@,uwasaうわさ%@,"rumor, gossip, hearsay%@"
脊%@,sekiセキ%@,"se, seiせ、 せい%@","stature, height, spine%@"
牝%@,hinヒン%@,"mesu, me-, menめす、 め-、 めん%@",female%@
梓%@,shiシ%@,azusaあずさ%@,"catalpa tree, woodblock printing%@"
洛%@,rakuラク%@,%@,"Kyoto, the capital%@"
醍%@,"dai, tai, teiダイ、 タイ、 テイ%@",%@,"whey, good Buddhist teaching%@"
砦%@,saiサイ%@,torideとりで%@,"fort, stronghold, entrenchments%@"
丑%@,chuuチュウ%@,ushiうし%@,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac%@"
笏%@,kotsuコツ%@,shakuしゃく%@,"mace, baton, scepter%@"
蕨%@,ketsuケツ%@,warabiわらび%@,"bracken, fernbrake%@"
噺%@,%@,hanashiはなし%@,"talk, (kokuji)%@"
抒%@,"jo, shoジョ、 ショ%@","ku(mu), no(beru)く(む)、 の(べる)%@","tell, 10**24%@"
嗣%@,shiシ%@,%@,"heir, succeed%@"
隈%@,"wai, eワイ、 エ%@","kuma, sumiくま、 すみ%@","corner, nook, recess%@"
叶%@,kyouキョウ%@,"kana(eru), kana(u)かな(える)、 かな(う)%@","grant, answer%@"
凄%@,"sei, saiセイ、 サイ%@","samu(i), sugo(i), susa(majii)さむ(い)、 すご(い)、 すさ(まじい)%@","uncanny, weird, threatening, horrible%@"
汐%@,sekiセキ%@,"shio, ushio, seiしお、 うしお、 せい%@","eventide, tide, salt water, opportunity%@"
絢%@,kenケン%@,%@,brilliant fabric design%@
叩%@,kouコウ%@,"tata(ku), hata(ku), sugiたた(く)、 はた(く)、 すぎ%@","strike, beat, kow tow, hit, thrash, criticize%@"
嫉%@,shitsuシツ%@,"sone(mu), neta(mu), niku(mu)そね(む)、 ねた(む)、 にく(む)%@","jealous, envy%@"
朔%@,sakuサク%@,tsuitachiついたち%@,"conjunction (astronomy), first day of month, north%@"
蔡%@,saiサイ%@,%@,type of tortoise used for divination%@
膝%@,shitsuシツ%@,hizaひざ%@,"knee, lap%@"
鍾%@,"shou, shuショウ、 シュ%@","atsu(meru), sakazuki, kaneあつ(める)、 さかずき、 かね%@","spindle, gather, collect%@"
仇%@,"kyuu, guキュウ、 グ%@","ada, ata, kataki, tsureaiあだ、 あた、 かたき、 つれあい%@","foe, enemy, revenge, grudge, feud%@"
伽%@,"ka, ga, kya, gyaカ、 ガ、 キャ、 ギャ%@",togiとぎ%@,"nursing, attending, entertainer%@"
夷%@,iイ%@,"ebisu, emishi, koro(su), tai(rageru)えびす、 えみし、 ころ(す)、 たい(らげる)%@","barbarian, savage, Ainu%@"
恣%@,shiシ%@,hoshiimamaほしいまま%@,"selfish, arbitrary%@"
瞑%@,"mei, ben, myou, min, menメイ、 ベン、 ミョウ、 ミン、 メン%@","mei(suru), tsubu(ru), tsumu(ru), kura(i)めい(する)、 つぶ(る)、 つむ(る)、 くら(い)%@","sleep, dark, close eyes%@"
畝%@,"bou, ho, mo, muボウ、 ホ、 モ、 ム%@","se, uneせ、 うね%@","furrow, thirty tsubo, ridge, rib%@"
抄%@,shouショウ%@,%@,"extract, selection, summary, copy, spread thin%@"
杭%@,kouコウ%@,kuiくい%@,"stake, post, picket%@"
寓%@,"guu, gu, douグウ、 グ、 ドウ%@","guu(suru), kakotsu(keru), yo(ru), karizumaiぐう(する)、 かこつ(ける)、 よ(る)、 かりずまい%@","temporary abode, imply, suggest%@"
麺%@,"men, benメン、 ベン%@",mugikoむぎこ%@,"noodles, wheat flour%@"
戴%@,taiタイ%@,itada(ku)いただ(く)%@,"be crowned with, live under (a ruler), receive%@"
爽%@,souソウ%@,"aki(raka), sawa(yaka), tagauあき(らか)、 さわ(やか)、 たがう%@","refreshing, bracing, resonant, sweet, clear%@"
裾%@,"kyo, koキョ、 コ%@",susoすそ%@,"cuff, hem, foot of mountain%@"
黎%@,"rei, riレイ、 リ%@",kuro(i)くろ(い)%@,"dark, black, many%@"
惰%@,daダ%@,%@,"lazy, laziness%@"
坐%@,"za, saザ、 サ%@","suwa(ru), owasu, sozoroni, mashimasuすわ(る)、 おわす、 そぞろに、 まします%@",sit%@
鍼%@,shinシン%@,"hari, sa(su)はり、 さ(す)%@",needle%@
蛮%@,banバン%@,ebisuえびす%@,barbarian%@
塙%@,"kaku, kouカク、 コウ%@","hanawa, kata(i)はなわ、 かた(い)%@",projecting tableland or mountain%@
冴%@,"go, koゴ、 コ%@","sa(eru), koo(ru), hi(eru)さ(える)、 こお(る)、 ひ(える)%@","be clear, serene, cold, skilful%@"
旺%@,"ou, kyou, gouオウ、 キョウ、 ゴウ%@","kagaya(ki), utsukushi(i), sakanかがや(き)、 うつくし(い)、 さかん%@","flourishing, successful, beautiful, vigorous%@"
葦%@,iイ%@,"ashi, yoshi, shio(reru), shina(biru), shibo(mu), na(eru)あし、 よし、 しお(れる)、 しな(びる)、 しぼ(む)、 な(える)%@","reed, bullrush%@"
礒%@,"gi, gaギ、 ガ%@","iso, iwaoいそ、 いわお%@","rock, beach, shore%@"
咸%@,"kan, genカン、 ゲン%@",%@,"all, same%@"
萌%@,houホウ%@,"mo(eru), kiza(su), mebaeも(える)、 きざ(す)、 めばえ%@","show symptoms of, sprout, bud, malt%@"
饗%@,kyouキョウ%@,"u(keru), motena(su)う(ける)、 もてな(す)%@",banquet%@
歪%@,"wai, eワイ、 エ%@","iga(mu), ibitsu, hizu(mu), yuga(mu)いが(む)、 いびつ、 ひず(む)、 ゆが(む)%@","warp, bend, strained, distort%@"
冥%@,"mei, myouメイ、 ミョウ%@",kura(i)くら(い)%@,dark%@
偲%@,"sai, shiサイ、 シ%@",shino(bu)しの(ぶ)%@,"recollect, remember%@"
壱%@,"ichi, itsuイチ、 イツ%@",hitotsuひとつ%@,one (in documents)%@
瑠%@,"ru, ryuuル、 リュウ%@",%@,lapis lazuli%@
韮%@,"kyuu, kuキュウ、 ク%@",niraにら%@,leek%@
漕%@,souソウ%@,"ko(gu), hako(bu)こ(ぐ)、 はこ(ぶ)%@","rowing, scull, paddle%@"
杵%@,"sho, soショ、 ソ%@",kineきね%@,wooden pestle%@
薔%@,"ba, shou, shoku, souバ、 ショウ、 ショク、 ソウ%@",mizutadeみずたで%@,water pepper%@
膠%@,"kou, kyouコウ、 キョウ%@","nikawa, nibeにかわ、 にべ%@","glue, isinglass%@"
允%@,inイン%@,"jou, makoto(ni), yurusuじょう、 まこと(に)、 ゆるす%@","license, sincerity, permit%@"
眞%@,shinシン%@,"ma, makotoま、 まこと%@","truth, reality, Buddhist sect%@"
蒙%@,"mou, bouモウ、 ボウ%@","koumu(ru), oo(u), kura(i)こうむ(る)、 おお(う)、 くら(い)%@","ignorance, darkness, get, receive, be subjected to, sustain, Mongolia%@"
蕃%@,"ban, hanバン、 ハン%@",%@,grow luxuriously%@
呑%@,"ton, donトン、 ドン%@",no(mu)の(む)%@,drink%@
侯%@,kouコウ%@,%@,"marquis, lord, daimyo%@"
碓%@,"kaku, taiカク、 タイ%@","tashi(ka), kaku(taru)たし(か)、 かく(たる)%@",pestle%@
茗%@,"myou, meiミョウ、 メイ%@",chaちゃ%@,tea%@
麓%@,rokuロク%@,fumotoふもと%@,foot of a mountain%@
瀕%@,hinヒン%@,hotoriほとり%@,"shore, brink, verge%@"
蒔%@,"shi, jiシ、 ジ%@","u(eru), ma(ku)う(える)、 ま(く)%@",sow (seeds)%@
鯉%@,riリ%@,koiこい%@,carp%@
竪%@,juジュ%@,"tate, ta(teru), kodomoたて、 た(てる)、 こども%@","length, height, warp%@"
弧%@,koコ%@,%@,"arc, arch, bow%@"
稽%@,keiケイ%@,"kanga(eru), todo(meru)かんが(える)、 とど(める)%@","think, consider%@"
瘤%@,"ryuu, ruリュウ、 ル%@",kobuこぶ%@,"lump, swelling%@"
澤%@,takuタク%@,"sawa, uruo(i), uruo(su), tsuyaさわ、 うるお(い)、 うるお(す)、 つや%@",swamp%@
溥%@,"fu, hakuフ、 ハク%@",amaneshiあまねし%@,far and wide%@
遥%@,youヨウ%@,haru(ka)はる(か)%@,"far off, distant, long ago%@"
蹴%@,"shuku, shuuシュク、 シュウ%@",ke(ru)け(る)%@,kick%@
或%@,"waku, koku, ikiワク、 コク、 イキ%@","a(ru), arui, aruiwaあ(る)、 あるい、 あるいは%@","some, one, or, possibly, a certain%@"
訃%@,fuフ%@,shiraseしらせ%@,obituary%@
矩%@,kuク%@,"kane, kanezashi, sashiganeかね、 かねざし、 さしがね%@","ruler, carpenter's square%@"
厦%@,"ka, saカ、 サ%@",ieいえ%@,house%@
冤%@,enエン%@,%@,"false charge, hatred%@"
剥%@,"haku, hokuハク、 ホク%@","he(gu), mu(ku), ha(gareru)へ(ぐ)、む(く)、 は(がれる)%@","come off, peel, fade, discolor%@"
舜%@,shunシュン%@,%@,"type of morning glory, rose of Sharon, althea%@"
侠%@,kyouキョウ%@,"kyan, otokodateきゃん、 おとこだて%@","tomboy, chivalry%@"
贅%@,"zei, seiゼイ、 セイ%@",iboいぼ%@,luxury%@
杖%@,jouジョウ%@,tsueつえ%@,"staff, cane%@"
蓋%@,"gai, kai, kouガイ、 カイ、 コウ%@","futa, keda(shi), oo(u), kasa, kakouふた、 けだ(し)、 おお(う)、 かさ、 かこう%@","cover, lid, flap%@"
畏%@,iイ%@,"oso(reru), kashikoma(ru), kashiko, kashiko(shi)おそ(れる)、 かしこま(る)、 かしこ、 かしこ(し)%@","fear, majestic, graciously, be apprehensive%@"
喉%@,kouコウ%@,nodoのど%@,"throat, voice%@"
汪%@,ouオウ%@,%@,"flowing full, expanse of water, wide, deep%@"
猷%@,"yuu, youユウ、 ヨウ%@","hakarigoto, haka(ru)はかりごと、 はか(る)%@","plan, scheme, plot, way%@"
瑛%@,eiエイ%@,%@,"sparkle of jewelry, crystal%@"
搜%@,"sou, shu, shuuソウ、 シュ、 シュウ%@",saga(su)さが(す)%@,"search, seek, investigate%@"
曼%@,"man, banマン、 バン%@",naga(i)なが(い)%@,"wide, beautiful%@"
附%@,fuフ%@,"tsu(keru), tsu(ku)つ(ける)、 つ(く)%@","affixed, attach, refer to, append%@"
彪%@,"hyou, hyuuヒョウ、 ヒュウ%@",ayaあや%@,"spotted, mottled, patterned, small tiger%@"
撚%@,nenネン%@,"yo(ru), yo(reru), yori, hi(neru)よ(る)、 よ(れる)、 より、 ひね(る)%@","twist, twine, kinky%@"
噛%@,"kou, gouコウ、 ゴウ%@","ka(mu), ka(jiru)か(む)、 か(じる)%@","chew, bite, gnaw%@"
卯%@,"bou, mouボウ、 モウ%@",uう%@,"sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east%@"
桝%@,%@,masuます%@,"measuring box, (kokuji)%@"
撫%@,"bu, fuブ、 フ%@",na(deru)な(でる)%@,"stroke, pat, smooth down%@"
喋%@,"chou, touチョウ、 トウ%@","shabe(ru), tsuiba(mu)しゃべ(る)、 ついば(む)%@","talk, chat, chatter%@"
但%@,tanタン%@,tada(shi)ただ(し)%@,"however, but%@"
溢%@,itsuイツ%@,"kobo(reru), afu(reru), mi(chiru)こぼ(れる)、 あふ(れる)、 み(ちる)%@","overflow, inundate, spill%@"
闊%@,katsuカツ%@,hiro(i)ひろ(い)%@,wide%@
藏%@,"zou, souゾウ、 ソウ%@","kura, osa(meru), kaku(reru)くら、 おさ(める)、 かく(れる)%@","hide, own, have, possess%@"
浙%@,setsuセツ%@,%@,name of a Chinese river%@
彭%@,houホウ%@,%@,"swelling, sound of drum%@"
淘%@,touトウ%@,yona(geru)よな(げる)%@,select%@
剃%@,teiテイ%@,"mai, so(ru), su(ru)まい、 そ(る)、 す(る)%@",shave%@
揃%@,senセン%@,"soro(eru), ki(ru)そろ(える)、 き(る)%@","be complete, uniform, all present%@"
綺%@,kiキ%@,ayaあや%@,"figured cloth, beautiful%@"
徘%@,haiハイ%@,samayo(u)さまよ(う)%@,wander%@
巷%@,kouコウ%@,chimataちまた%@,"fork in road, scene, arena, theater%@"
竿%@,kanカン%@,saoさお%@,"pole, rod, scale beam, violin neck%@"
蟹%@,kaiカイ%@,kaniかに%@,crab%@
芋%@,uウ%@,imoいも%@,potato%@
袁%@,"en, onエン、 オン%@",%@,long kimono%@
舩%@,senセン%@,"fune, funa-ふね、 ふな-%@","boat, ship, vessel%@"
拭%@,"shoku, shikiショク、 シキ%@","nugu(u), fu(ku)ぬぐ(う)、 ふ(く)%@","wipe, mop, swab%@"
茜%@,senセン%@,akaneあかね%@,"madder, red dye, Turkey red%@"
凌%@,ryouリョウ%@,shino(gu)しの(ぐ)%@,"endure, keep (rain)out, stave off, tide over, defy, slight, surpass%@"
頬%@,kyouキョウ%@,"hoo, hohoほお、 ほほ%@","cheeks, jaw%@"
厨%@,"shuu, zu, chu, chuuシュウ、 ズ、 チュ、 チュウ%@",kuriyaくりや%@,kitchen%@
犀%@,"sai, seiサイ、 セイ%@",%@,rhinoceros%@
簑%@,"sa, saiサ、 サイ%@",minoみの%@,a coat raincoat%@
皓%@,kouコウ%@,"shiro(i), hika(ru)しろ(い)、 ひか(る)%@","white, clear%@"
甦%@,"so, kouソ、 コウ%@",yomigae(ru)よみがえ(る)%@,"be resuscitated, revived%@"
洸%@,kouコウ%@,%@,sparkling water%@
毬%@,kyuuキュウ%@,"iga, mariいが、 まり%@","burr, ball%@"
檄%@,kekiケキ%@,"geki(suru), furebumiげき(する)、 ふれぶみ%@","written appeal, manifesto%@"
姚%@,"you, chouヨウ、 チョウ%@",utsuku(shii)うつく(しい)%@,beautiful%@
蛭%@,"shitsu, chitsuシツ、 チツ%@",hiruひる%@,leech%@
婆%@,baバ%@,"baba, baaばば、 ばあ%@","old woman, grandma, wet nurse%@"
叢%@,"sou, suソウ、 ス%@","kusamura, mura(garu), muraくさむら、 むら(がる)、 むら%@","plexus, clump of bushes, thicket%@"
椙%@,%@,sugiすぎ%@,"Japanese cedar, cryptomeria, (kokuji)%@"
