kanji,onyomi,kunyomi,meaning
掲%@,keiケイ%@,kaka(geru)かか(げる)%@,"put up (a notice), put up, hoist, display, hang out, publish, describe%@"
躍%@,yakuヤク%@,odo(ru)おど(る)%@,"leap, dance, skip%@"
棄%@,kiキ%@,su(teru)す(てる)%@,"abandon, throw away, discard, resign, reject, sacrifice%@"
邸%@,teiテイ%@,yashikiやしき%@,"residence, mansion%@"
縮%@,shukuシュク%@,chidji(mu)ちぢ(む)%@,"shrink, contract, shrivel, wrinkle, reduce%@"
還%@,kanカン%@,kae(ru)かえ(る)%@,"send back, return%@"
属%@,"zoku, shokuゾク、 ショク%@","sakan, tsuku, yakaraさかん、 つく、 やから%@","belong, genus, subordinate official, affiliated%@"
慮%@,ryoリョ%@,omonpaku(ru)おもんぱく(る)%@,"prudence, thought, concern, consider, deliberate, fear%@"
枠%@,%@,wakuわく%@,"frame, framework, spindle, spool, bounding-box%@"
恵%@,"kei, eケイ、 エ%@",megu(mu)めぐ(む)%@,"favor, blessing, grace, kindness%@"
露%@,"ro, rouロ、 ロウ%@",tsuyuつゆ%@,"dew, tears, expose, Russia%@"
沖%@,chuuチュウ%@,"oki, okitsu, chuu(suru), wakuおき、 おきつ、 ちゅう(する)、 わく%@","open sea, offing, rise high into sky%@"
緩%@,kanカン%@,yuru(i)ゆる(い)%@,"slacken, loosen, relax, lessen, be moderate, ease%@"
節%@,"setsu, sechiセツ、 セチ%@","fushi, -bushi, nottoふし、 -ぶし、 のっと%@","node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody%@"
需%@,juジュ%@,%@,"demand, request, need%@"
射%@,shaシャ%@,"i(ru), sa(su), u(tsu)い(る)、 さ(す)、 う(つ)%@","shoot, shine into, onto, archery%@"
購%@,kouコウ%@,%@,"subscription, buy%@"
揮%@,kiキ%@,furu(u)ふる(う)%@,"brandish, wave, wag, swing, shake%@"
充%@,juuジュウ%@,"a(teru), mi(tasu)あ(てる)、 み(たす)%@","allot, fill%@"
貢%@,"kou, kuコウ、 ク%@",mitsu(gu)みつ(ぐ)%@,"tribute, support, finance%@"
鹿%@,rokuロク%@,"shika, kaしか、 か%@",deer%@
却%@,kyakuキャク%@,"kae(tte), shirizo(ku)かえ(って)、 しりぞ(く)%@","instead, on the contrary, rather, step back, withdraw, retreat%@"
端%@,tanタン%@,"hashi, ha, hata, -bata, hanaはし、 は、 はた、 -ばた、 はな%@","edge, origin, end, point, border, verge, cape%@"
賃%@,chinチン%@,%@,"fare, fee, hire, rent, wages, charge%@"
獲%@,kakuカク%@,e(ru)え(る)%@,"seize, get, find, earn, acquire, can, may, able to%@"
郡%@,gunグン%@,kooriこおり%@,"county, district%@"
併%@,heiヘイ%@,awa(seru)あわ(せる)%@,"join, get together, unite, collective%@"
徹%@,tetsuテツ%@,%@,"penetrate, clear, pierce, strike home, sit up (all night)%@"
貴%@,kiキ%@,"tatto(i), touto(i)たっと(い)、 とうと(い)%@","precious, value, prize, esteem, honor%@"
埼%@,kiキ%@,"saki, sai, misakiさき、 さい、 みさき%@","cape, spit, promontory%@"
衝%@,shouショウ%@,tsu(ku)つ(く)%@,"collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick%@"
焦%@,shouショウ%@,"ko(geru), ase(ru), ji(reru)こ(げる)、 あせ(る)、 じ(れる)%@","char, hurry, impatient, irritate, burn, scorch, singe%@"
奪%@,datsuダツ%@,uba(u)うば(う)%@,"rob, take by force, snatch away, dispossess, plunder, usurp%@"
災%@,saiサイ%@,wazawa(i)わざわ(い)%@,"disaster, calamity, woe, curse, evil%@"
浦%@,hoホ%@,uraうら%@,"bay, creek, inlet, gulf, beach, seacoast%@"
